called directly with directory .
Hash: 6b832410f2ba5cc9b136ee1e7fbaf1f1 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/init-package-json/.travis.yml

Hash: 4544030d9ef8cdeca78f8562df9f6f23 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/lib/start.js

Hash: d620d629fde5ed8567ca6fbca7d05f3f Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/stream-each/.travis.yml

Hash: 6227a4077d3018d1c5da95734c7bffe4 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/tar/.npmignore

Hash: 1df10f301485d0997a69dcbc74b561cb Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/JSONStream/test/fixtures/error.json

Hash: 905c76c189c1dccb72758d69830093da Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/http-signature/node_modules/sshpk/node_modules/getpass/.npmignore

Hash: be2b3681cdec54a716d7730a05d5aa58 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/lib/restart.js

Hash: de682ad19f28e7ce9114c07658a7885c Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/duplexify/.travis.yml

Hash: de682ad19f28e7ce9114c07658a7885c Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/duplexify/node_modules/stream-shift/.travis.yml

Hash: 5b2bb434ef24a95a39cc070cd59e6fed Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readable-stream/node_modules/core-util-is/README.md

Hash: 5b2bb434ef24a95a39cc070cd59e6fed Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/node_modules/from2/node_modules/readable-stream/node_modules/core-util-is/README.md

Hash: b0a30c556198bdf7ba4c356e4929b13a Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/cryptiles/.travis.yml

Hash: 7e8dcb6682d830bdb6eb8c16832bc259 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/flush-write-stream/.travis.yml

Hash: 559dd0b28e67e4da65c434476bc2c885 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mkdirp/node_modules/minimist/example/parse.js

Hash: 2be72d62751a2cbdba111fad230940f3 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/normalize-package-data/test/fixtures/badscripts.json

Hash: 96d9b60d5cb57129c39eff3769ede28c Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/fstream/.npmignore

Hash: f6e78a1d4a34fb1fa0317be3f76d1b6f Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/fstream-npm/.npmignore

Hash: 154afb25aea8e2938a0271e5aa6a3f40 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/config-chain/test/ignore-unfound-file.js

Hash: 02135d9c30f7f01b9f1af1d0f622b408 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/config-chain/node_modules/proto-list/README.md

Hash: ebf145d80a3fe852e1cf446dad14387a Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/http-signature/node_modules/sshpk/node_modules/jodid25519/.travis.yml

Hash: cf1c3e0e4bc3b07adf812b1c70e8bdbd Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/npmlog/node_modules/gauge/set-interval.js

Hash: 7b2eab6ad3cb25b22b6128717efbf19a Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/read-package-json/node_modules/json-parse-helpfulerror/node_modules/jju/.npmignore

Hash: b4f8a99c1f1208a8726a68ecb1afbebe Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/init-package-json/example/init/basic-init.js

Hash: 4b06c5284c121d69a6754b082be01805 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/read-installed/.npmignore

Hash: 9b87ac4d6f4c40ad8517c6b26984d33d Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/retry/test/runner.js

Hash: 4b06c5284c121d69a6754b082be01805 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/osenv/.npmignore

Hash: 4b06c5284c121d69a6754b082be01805 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/read-package-json/.npmignore

Hash: 64b2f23405bc8bdd8f335b756544b1e8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/npm-user-validate/.travis.yml

Hash: 22ef68310eb91ddcbc6864b8a46dde25 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/http-signature/node_modules/jsprim/node_modules/extsprintf/examples/simple.js

Hash: 11996b2fb2418136f636df2e16da25c7 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/hoek/CONTRIBUTING.md

